reg_date,last_Name,first_name,email,zipcode,city,state,street,phone
11/28/08 22:44,hoy,john,xhnebenz@jumpstartlab.com,78705,austin,tx,300 E 30th St Apt 304,
12/10/08 16:37,stamieszkin,emilu,ggi115@jumpstartlab.com,78751,austin,tx,4553 Guadalupe St. #B203,
12/15/08 14:57,hazzard,bridget,uueppig@jumpstartlab.com,78750,austin,tx,9805 Anderson Mill Rd,
12/19/08 13:04,wilson,jon,xyseton@jumpstartlab.com,78746,austin,tx,6663 White Marsh Valley Walk,
12/19/08 18:36,chen,lillian,fwter@jumpstartlab.com,78705,austin,tx,200 E. 33rd St.,
1/6/09 15:45,eyerer,rachel,vbs114bev@jumpstartlab.com,78705,austin,tx,200 E. 33rd St,
1/20/09 20:32,silvestri,anna,trrothma@jumpstartlab.com,78703,austin,tx,2410 Hartford Rd,
1/21/09 22:02,heshan,null,gibing@jumpstartlab.com,78704,austin,tx,3001 s congress ave,
1/21/09 22:20,mylius,robin,darkju01@jumpstartlab.com,78704,austin,tx,3001 S. Congress Ave.,
1/21/09 23:19,jolly,mary,fxmasterson@jumpstartlab.com,78704,austin,tx,520 Woodward Ave. Apt. 1634,
1/27/09 21:18,roberts,huini (sarry),fallie_k@jumpstartlab.com,78745,austin,tx,6304 Berkeley Cove,
1/30/09 10:21,buzek,brian,etbs@jumpstartlab.com,78702,austin,tx,1710A E 16th St,
1/30/09 10:38,renville,valerie,bt@jumpstartlab.com,78751,austin,tx,4305 Duval St,
1/30/09 10:53,williams,ya'ara,geigwood@jumpstartlab.com,78705,austin,tx,2509 Pearl St #2,
1/30/09 10:59,claus,madeline,rush@jumpstartlab.com,78705,austin,tx,2612 Guadalupe Apt 511,
1/30/09 11:10,oaks,dan,uwostow@jumpstartlab.com,78705,austin,tx,200 E 33rd St,
1/30/09 11:17,johnston,pam,ctchelc23@jumpstartlab.com,78705,austin,tx,"101 E 33rd St, #102",
1/30/09 11:22,sofer,sadie,qpisokiguess@jumpstartlab.com,78705,austin,tx,1909 Nueces,
2/1/09 7:17,burkhalter,pamela,kdavelich@jumpstartlab.com,78701,austin,tx,44 East Avenue Suite 200,
2/1/09 21:30,morfei,abe,axelrath@jumpstartlab.com,78701,austin,tx,44 East Avenue Suite 200,
2/1/09 23:28,farrell,emily,tgka@jumpstartlab.com,78704,austin,tx,3001 S. Congress Ave.,
2/2/09 0:16,funkle,gabrielle,by4312@jumpstartlab.com,78747,austin,tx,4804 Dry Oak TRail,
