reg_date,last_Name,first_name,email,zipcode,city,state,street,phone
12/2/08 23:19,panek,michael,dntisler@jumpstartlab.com,84105,salt lake city,ut,1434 Wilson Ave.,
1/17/09 14:21,cebulski,kate,orazrya1@jumpstartlab.com,84102,salt lake city,ut,1033 Barbara Pl Apt 2,
1/21/09 22:00,engel,megan,bgc64@jumpstartlab.com,84102,salt lake city,ut,219 Elizabeth St.,
1/21/09 22:03,gilbert,kristen,tpollins6@jumpstartlab.com,84121,salt lake city,ut,1343 Ashwood Circle,
1/21/09 22:07,myett,student,wjang@jumpstartlab.com,84106,salt lake city,ut,834 E. Pond View Way,
1/21/09 22:09,xx,adrienne,oflaherty@jumpstartlab.com,84121,salt lake city,ut,1213 Medical Plaza,
1/21/09 22:11,ludmer,eileen,mhulger@jumpstartlab.com,84103,salt lake city,ut,723 11th Avenue,
1/21/09 22:13,boozel,alex,jyhiang@jumpstartlab.com,84103,salt lake city,ut,220 A Street,
1/21/09 22:15,berkley,susan,4@jumpstartlab.com,84102,salt lake city,ut,1033 Barbara Pl,
1/21/09 22:17,kopkin,emma,sxcoffey@jumpstartlab.com,84102,salt lake city,ut,1033 Barbara Pl,
1/21/09 22:19,armacost,kate,Saud@jumpstartlab.com,84102,salt lake city,ut,1033 Barbara Pl,
2/1/09 17:14,woolworth,lindsey,eoeal@jumpstartlab.com,84111,salt lake city,ut,350 south 200 east #406,
2/1/09 22:00,wynn,rich,serna@jumpstartlab.com,84109,salt lake city,ut,2887 Wainwright Road,
