reg_date,last_Name,first_name,email,zipcode,city,state,street,phone
11/12/08 10:47,nguyen,allison,arannon@jumpstartlab.com,20010,washington,dc,3155 19th St NW,
11/12/08 13:23,hankins,sarah,pinalevitsky@jumpstartlab.com,20009,washington,dc,2022 15th Street NW,
12/8/08 20:31,murillo,sofia,lpohen@jumpstartlab.com,20001,washington,dc,"702 H St, suite 300",
12/11/08 11:56,baimas-george,katie,svsullivan88@jumpstartlab.com,20009,washington,dc,1123 Harvard St. unit R,
12/19/08 10:40,endres,nate,rmaiorana@jumpstartlab.com,20015,nw,dc,3332 Quesada St.,
12/19/08 12:32,stevenson,melanie,jebergma@jumpstartlab.com,20010,washington,dc,3646 Warder St. NW,
12/19/08 12:38,ortega,aurora,yfr42@jumpstartlab.com,20024,washington,dc,520 N St SW,
12/19/08 12:44,chinana,justin,ipesha226@jumpstartlab.com,20010,washington,dc,3321 16th St NW,
12/19/08 12:49,sachs,lee,bwd6273@jumpstartlab.com,20017,washington,dc,1225 Otis St NE,
12/19/08 12:58,trowbridge,kristina,oumandrell@jumpstartlab.com,20002,washington,dc,"110 Maryland Ave., NE, Suite 108",
12/19/08 13:15,modawal,sean,ufmPalley@jumpstartlab.com,20009,washington,dc,1718 Connecticut Ave. NW Suite 300,
12/19/08 13:16,murphy,michael,bxthewsm@jumpstartlab.com,20009,washington,dc,1718 Connecticut Ave. NW Suite 300,
12/19/08 13:19,mclaughlin,callie,gdacyjamesrossi2@jumpstartlab.com,20017,washington,dc,"391 Michigan Ave., NE",
12/19/08 13:30,rotman,eva,cgngo8456@jumpstartlab.com,20017,washington,dc,PO Box 29132,
12/20/08 14:05,taylor,donna,hmisJohnsonPS@jumpstartlab.com,20007,washington,dc,1409 37th St NW,
12/20/08 16:43,fraissinet,dan,kggoyer@jumpstartlab.com,20057,washington,dc,"Box #577150, Georgetown Univ.",
1/5/09 15:32,kristian,william,xokelly@jumpstartlab.com,20011,washington,dc,812 Randolph St. NW,
1/7/09 10:57,kurdyla,jessie,etcooke11@jumpstartlab.com,20008,washington,dc,"2915 Connecticut Avenue, NW Apt. 207",
1/12/09 2:55,lade,sophie,cpagenkn@jumpstartlab.com,20009,washington,dc,2505 13th St. NW,
1/12/09 2:57,leung,lala,vsmcneal@jumpstartlab.com,20009,washington,dc,2505 13th St. NW,
1/15/09 16:08,gutbrod,daryl,jamie@jumpstartlab.com,20008,washington,dc,2941 Chesapeake St NW,
1/17/09 0:38,craig,megan,nslopuppet_o_o@jumpstartlab.com,20007,washington,dc,1409 37th St.,
1/18/09 2:48,xx,laura,abnedoe3@jumpstartlab.com,20008,washington,dc,"2601 Woodley Place NW, Apt 813",
1/19/09 11:22,bryant,jeannie,kkserpe08@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt 305",
1/19/09 11:29,haut,rachel,greenwald@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 232",
1/19/09 11:35,karoluk,lucia,wonisegarcia666@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 305",
1/19/09 11:43,b,jenna,feathers@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 305",
1/19/09 11:46,frick,lucy,xcott33@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 211",
1/19/09 11:49,stoneking,alan,euizabethlev@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 529",
1/19/09 11:52,doe,vax,nyesoto@jumpstartlab.com,20008,washington,dc,2727 29th Street NW,
1/19/09 11:58,beardsley,erik,ngangrpl@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 232",
1/19/09 12:02,halter,guy,buikema@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 529",
1/19/09 12:05,alvarez,juliette,luroberts05@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 323",
1/19/09 12:07,mclaren,fiona,wyohr@jumpstartlab.com,20008,washington,dc,"2727 29th Street NW, Apt. 232",
1/20/09 23:29,peavler,jen,wyate2@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Avenue, NW",
1/20/09 23:35,oh,laura,ball0166@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:38,astrove,zack,fkolfgan@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:40,fitzgerald,one,nplds@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:43,vanegas,meghan,bu@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:45,berlin,lauren,kff_wehrenjk@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:48,gracey,allison,fhrlemail1@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
1/20/09 23:50,aronoff,lindsay,aslissanypirg@jumpstartlab.com,20008,washington,dc,"3000 Cathedral Ave, NW",
